1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 100.0% | 4/5 : 100.0% | 5/5 : 100.0% | 6/5 : 500.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 92.9% | 4/5 : 92.9% | 5/5 : 92.9% | 6/5 : 478.6% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 93.3% | 4/5 : 93.3% | 5/5 : 93.3% | 6/5 : 480.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 93.8% | 4/5 : 93.8% | 5/5 : 93.8% | 6/5 : 481.2% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 94.1% | 4/5 : 94.1% | 5/5 : 94.1% | 6/5 : 482.4% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 88.9% | 4/5 : 88.9% | 5/5 : 88.9% | 6/5 : 466.7% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 89.5% | 4/5 : 89.5% | 5/5 : 89.5% | 6/5 : 468.4% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 90.0% | 4/5 : 90.0% | 5/5 : 90.0% | 6/5 : 470.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 90.5% | 4/5 : 90.5% | 5/5 : 90.5% | 6/5 : 471.4% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 90.9% | 4/5 : 90.9% | 5/5 : 90.9% | 6/5 : 472.7% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 91.3% | 4/5 : 91.3% | 5/5 : 91.3% | 6/5 : 473.9% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 91.7% | 4/5 : 91.7% | 5/5 : 91.7% | 6/5 : 475.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 92.0% | 4/5 : 92.0% | 5/5 : 92.0% | 6/5 : 476.0% ||
1/5 : 100.0% | 2/5 : 100.0% | 3/5 : 92.3% | 4/5 : 88.5% | 5/5 : 88.5% | 6/5 : 469.2% ||
1/5 : 96.3% | 2/5 : 96.3% | 3/5 : 88.9% | 4/5 : 85.2% | 5/5 : 85.2% | 6/5 : 451.9% ||
1/5 : 92.9% | 2/5 : 92.9% | 3/5 : 85.7% | 4/5 : 82.1% | 5/5 : 82.1% | 6/5 : 435.7% ||
1/5 : 93.1% | 2/5 : 93.1% | 3/5 : 86.2% | 4/5 : 82.8% | 5/5 : 82.8% | 6/5 : 437.9% ||
1/5 : 93.3% | 2/5 : 93.3% | 3/5 : 86.7% | 4/5 : 83.3% | 5/5 : 83.3% | 6/5 : 440.0% ||
1/5 : 93.5% | 2/5 : 93.5% | 3/5 : 87.1% | 4/5 : 83.9% | 5/5 : 83.9% | 6/5 : 441.9% ||
1/5 : 93.8% | 2/5 : 93.8% | 3/5 : 87.5% | 4/5 : 84.4% | 5/5 : 84.4% | 6/5 : 443.8% ||
1/5 : 93.9% | 2/5 : 93.9% | 3/5 : 87.9% | 4/5 : 84.8% | 5/5 : 84.8% | 6/5 : 445.5% ||
1/5 : 94.1% | 2/5 : 94.1% | 3/5 : 88.2% | 4/5 : 85.3% | 5/5 : 82.4% | 6/5 : 444.1% ||
1/5 : 94.3% | 2/5 : 94.3% | 3/5 : 88.6% | 4/5 : 85.7% | 5/5 : 82.9% | 6/5 : 445.7% ||
1/5 : 94.4% | 2/5 : 94.4% | 3/5 : 88.9% | 4/5 : 86.1% | 5/5 : 83.3% | 6/5 : 447.2% ||
1/5 : 94.6% | 2/5 : 94.6% | 3/5 : 89.2% | 4/5 : 86.5% | 5/5 : 81.1% | 6/5 : 445.9% ||
1/5 : 94.7% | 2/5 : 94.7% | 3/5 : 86.8% | 4/5 : 84.2% | 5/5 : 78.9% | 6/5 : 439.5% ||
1/5 : 94.9% | 2/5 : 94.9% | 3/5 : 84.6% | 4/5 : 82.1% | 5/5 : 76.9% | 6/5 : 433.3% ||
1/5 : 95.0% | 2/5 : 95.0% | 3/5 : 85.0% | 4/5 : 82.5% | 5/5 : 77.5% | 6/5 : 435.0% ||
1/5 : 95.1% | 2/5 : 95.1% | 3/5 : 85.4% | 4/5 : 80.5% | 5/5 : 75.6% | 6/5 : 431.7% ||
1/5 : 95.2% | 2/5 : 95.2% | 3/5 : 85.7% | 4/5 : 81.0% | 5/5 : 76.2% | 6/5 : 433.3% ||
1/5 : 95.3% | 2/5 : 95.3% | 3/5 : 86.0% | 4/5 : 81.4% | 5/5 : 76.7% | 6/5 : 434.9% ||
1/5 : 95.5% | 2/5 : 95.5% | 3/5 : 86.4% | 4/5 : 81.8% | 5/5 : 77.3% | 6/5 : 436.4% ||
1/5 : 95.6% | 2/5 : 95.6% | 3/5 : 86.7% | 4/5 : 82.2% | 5/5 : 77.8% | 6/5 : 437.8% ||
1/5 : 95.7% | 2/5 : 95.7% | 3/5 : 87.0% | 4/5 : 80.4% | 5/5 : 76.1% | 6/5 : 434.8% ||
1/5 : 95.7% | 2/5 : 95.7% | 3/5 : 87.2% | 4/5 : 80.9% | 5/5 : 76.6% | 6/5 : 436.2% ||
1/5 : 95.8% | 2/5 : 95.8% | 3/5 : 87.5% | 4/5 : 79.2% | 5/5 : 75.0% | 6/5 : 433.3% ||
1/5 : 95.9% | 2/5 : 95.9% | 3/5 : 87.8% | 4/5 : 79.6% | 5/5 : 75.5% | 6/5 : 434.7% ||
1/5 : 96.0% | 2/5 : 96.0% | 3/5 : 88.0% | 4/5 : 80.0% | 5/5 : 76.0% | 6/5 : 436.0% ||
1/5 : 96.1% | 2/5 : 94.1% | 3/5 : 86.3% | 4/5 : 78.4% | 5/5 : 74.5% | 6/5 : 429.4% ||
1/5 : 96.2% | 2/5 : 94.2% | 3/5 : 86.5% | 4/5 : 78.8% | 5/5 : 75.0% | 6/5 : 430.8% ||
1/5 : 96.2% | 2/5 : 94.3% | 3/5 : 84.9% | 4/5 : 77.4% | 5/5 : 73.6% | 6/5 : 426.4% ||
1/5 : 96.3% | 2/5 : 94.4% | 3/5 : 85.2% | 4/5 : 77.8% | 5/5 : 74.1% | 6/5 : 427.8% ||
1/5 : 96.4% | 2/5 : 94.5% | 3/5 : 85.5% | 4/5 : 78.2% | 5/5 : 72.7% | 6/5 : 427.3% ||
1/5 : 96.4% | 2/5 : 94.6% | 3/5 : 85.7% | 4/5 : 78.6% | 5/5 : 73.2% | 6/5 : 428.6% ||
1/5 : 96.5% | 2/5 : 94.7% | 3/5 : 86.0% | 4/5 : 78.9% | 5/5 : 73.7% | 6/5 : 429.8% ||
1/5 : 96.6% | 2/5 : 93.1% | 3/5 : 84.5% | 4/5 : 77.6% | 5/5 : 72.4% | 6/5 : 424.1% ||
1/5 : 96.6% | 2/5 : 93.2% | 3/5 : 84.7% | 4/5 : 78.0% | 5/5 : 72.9% | 6/5 : 425.4% ||
1/5 : 96.7% | 2/5 : 93.3% | 3/5 : 85.0% | 4/5 : 78.3% | 5/5 : 73.3% | 6/5 : 426.7% ||
1/5 : 96.7% | 2/5 : 93.4% | 3/5 : 85.2% | 4/5 : 78.7% | 5/5 : 73.8% | 6/5 : 427.9% ||
1/5 : 95.2% | 2/5 : 91.9% | 3/5 : 83.9% | 4/5 : 77.4% | 5/5 : 72.6% | 6/5 : 421.0% ||
